date,BIL-US,ETHA-US,EXI-US,EZU-US,GLD-US,IBIT-US,IEI-US,INDA-US,IXC-US,IXG-US,IXJ-US,IXN-US,JPXN-US,JXI-US,KXI-US,MCHI-US,MXI-US,RXI-US,SHY-US,SLV-US,SPY-US,TLT-US,UNG-US,USO-US,VIXY-US
2007-05-30,73.8479,26.24,45.87278,36.140373,64.72,26.63,71.54989,23.12183,22.953188,58.341976,22.20201,8.8031225,46.576893,33.91025,19.283136,39.145004,44.877037,47.80581,60.525703,13.101,109.278206,50.406548,6635.52,385.68,633840.06
2007-05-31,73.8479,26.24,46.313786,36.55074,65.54,26.63,71.485435,23.12183,22.938475,58.42784,22.216496,8.8516245,47.045,34.128445,19.279835,39.145004,45.364372,48.06722,60.487926,13.383,109.164246,50.313347,6622.72,391.68,633840.06
2007-06-01,73.86403,26.24,46.5379,36.64568,66.44,26.63,71.26477,23.12183,23.190426,58.584263,22.22737,8.905832,47.274963,34.29172,19.388945,39.145004,46.111477,48.213287,60.456635,13.637,109.705376,50.04878,6574.08,395.68,633840.06
2007-06-04,73.880135,26.24,46.501755,36.731434,66.54,26.63,71.35821,23.12183,23.438692,58.668293,22.198383,8.94007,47.435585,34.196922,19.375721,39.145004,46.347424,48.290176,60.47939,13.648,109.71962,50.276825,6819.84,402.8,633840.06
2007-06-05,73.880135,26.24,46.545135,36.403748,66.37,26.63,71.20719,23.12183,23.365128,58.312874,22.180271,8.915815,47.33701,33.828247,19.286442,39.145004,46.17047,47.998016,60.42633,13.7,109.28529,49.961086,6713.8047,400.16,633840.06
2007-06-06,73.91235,26.24,45.93783,35.751442,66.41,26.63,71.32218,23.12183,23.140774,57.642666,21.977386,8.835932,47.220215,33.09987,19.068224,39.145004,45.475765,47.321457,60.502106,13.63801,108.11048,49.937668,6771.2,402.4896,633840.06
2007-06-07,73.896255,26.24,45.287155,34.847996,65.26,26.63,70.99867,23.12183,22.736177,56.599854,21.575224,8.680441,46.851532,32.07444,18.879755,39.145004,44.518948,46.775585,60.433907,13.363001,106.15967,49.043,6515.2,405.2,633840.06
2007-06-08,73.91235,26.24,45.8583,35.319633,64.22,26.63,70.99867,23.12183,22.918247,57.35429,21.68029,8.8516245,47.278614,32.748566,18.91613,39.145004,45.023575,46.937042,60.456635,13.030001,107.54091,49.002052,6410.24,392.48,633840.06
2007-06-11,73.944664,26.24,45.887234,35.39006,64.7,26.63,71.013115,23.12183,22.973417,57.458622,21.731016,8.834507,47.23934,32.7591,19.061605,39.145004,45.30537,47.060047,60.464226,13.153999,107.726036,48.86176,6368.0,398.72,633840.06
2007-06-12,73.880135,26.24,45.337757,34.75919,64.1,26.63,70.71107,23.12183,22.73802,56.477177,21.484684,8.713252,46.665356,32.348297,18.853306,39.145004,44.64831,47.060047,60.411125,12.931,106.55123,48.15421,6433.28,396.48,633840.06
2007-06-13,73.944664,26.24,45.916153,35.33494,64.53,26.63,70.82614,23.12183,23.092955,57.262352,21.70927,8.825948,46.771233,32.663456,19.012007,39.145004,45.364372,47.090805,60.42633,13.065,108.14606,48.72724,6361.6,400.72,633840.06
2007-06-14,73.9769,26.24,46.508987,35.766754,64.6,26.63,70.79739,23.12183,23.554565,57.415703,21.582468,8.914392,46.77487,32.917103,19.091368,39.145004,45.882103,47.513653,60.42633,13.071311,108.83669,48.60443,6503.68,408.8,633840.06
2007-06-15,74.04137,26.24,47.203045,36.314934,64.85,26.63,71.00591,23.12183,23.896618,57.845097,21.756372,9.012821,47.154503,33.480648,19.177334,39.145004,46.71441,47.775063,60.509712,13.161,109.45572,48.937737,6607.36,412.24,633840.06
2007-06-18,74.05748,26.24,47.00061,36.376194,64.95,26.63,71.05608,23.12183,24.005123,57.998573,21.74551,9.048482,47.07055,33.338432,19.177334,39.145004,46.884804,47.84425,60.509712,13.163001,109.32698,48.83833,6401.28,417.12,633840.06
2007-06-19,74.05748,26.24,47.18858,36.461937,65.48,26.63,71.25036,23.12183,23.99777,58.200844,21.774488,9.044207,47.041374,33.417442,19.064884,39.145004,47.127293,47.690487,60.615803,13.264999,109.59872,49.294456,6304.0,416.96,633840.06
